plant_code,plant_photo
ABLA,ABLA
ACHMIL,ACHMIL
ACOCOL,ACOCOL
AGROSP,AGROSP
ALLGEY,ALLGEY
ANDSEP,ANDSEP
ANGGRA,ANGGRA
ANTMED,ANTMED
ANTROS,ANTROS
AQUCOE,AQUCOE
AREFEN,AREFEN
ARTARC,ARTARC
ARTCAM,ARTCAM
ARTPAT,ARTPAT
ARTSCO,ARTSCO
BEFO,BEFO
BEGL,BEGL
BESALP,BESALP
BISBIS,BISBIS
BISVIV,BISVIV
CALLEP,CALLEP
CALPUR,CALPUR
CAMROT,CAMROT
CAMUNI,CAMUNI
CARALB,CARALB
CARAQU,CARAQU
CARARA,CARARA
CARCAP,CARCAP
CAREBE,CAREBE
CARELY,CARELY
CARHAY,CARHAY
CARHET,CARHET
CARILL,CARILL
CARLAC,CARLAC
CARMIC,CARMIC
CARMIS,CARMIS
CARNEL,CARNEL
CARNIG,CARNIG
CARNOV,CARNOV
CARPER,CARPER
CARPHA,CARPHA
CARPRA,CARPRA
CARPYR,CARPYR
CARROS,CARROS
CARRUP,CARRUP
CARSCO,CARSCO
CARSIC,CARSIC
CARVER,CARVER
CERARV,CERARV
CHAANG,CHAANG
CHIJAM,CHIJAM
CIRSCO,CIRSCO
DAFR,DAFR
DANINT,DANINT
DESCAE,DESCAE
DODPUL,DODPUL
DROC,DROC
DRYOCT,DRYOCT
ELYSCR,ELYSCR
EPIANA,EPIANA
ERIGLA,ERIGLA
ERIMEL,ERIMEL
ERINAN,ERINAN
ERIPIN,ERIPIN
ERISIM,ERISIM
ERYCAP,ERYCAP
FESTSP,FESTSP
FRASPE,FRASPE
GENALG,GENALG
GENAMA,GENAMA
GENBAR,GENBAR
GENPAR,GENPAR
GENPRO,GENPRO
GENTEN,GENTEN
GEUROS,GEUROS
HELMOR,HELMOR
HEUPAR,HEUPAR
HIEGRA,HIEGRA
JUCO,JUCO
JUNBIG,JUNBIG
JUNCAS,JUNCAS
JUNDRU,JUNDRU
JUNMER,JUNMER
JUNPAR,JUNPAR
JUNTRI,JUNTRI
KAPO,KAPO
KOBMYO,KOBMYO
LEWPYG,LEWPYG
LIBO,LIBO
LIGTEN,LIGTEN
LLOSER,LLOSER
LUAR,LUAR
LUZSPI,LUZSPI
MERCIL,MERCIL
MERLAN,MERLAN
MINOBT,MINOBT
NOCFEN,NOCFEN
OREALP,OREALP
OXYDIG,OXYDIG
PACCAN,PACCAN
PACCRO,PACCRO
PARPUL,PARPUL
PEDGRO,PEDGRO
PEDPAR,PEDPAR
PEDPRO,PEDPRO
PEDSUD,PEDSUD
PENWHI,PENWHI
PHASER,PHASER
PHLALP,PHLALP
PHLPUL,PHLPUL
PICO,PICO
PIEN,PIEN
PIFL,PIFL
PIPO,PIPO
PIPU,PIPU
POA_SP,POA_SP
POLPUL,POLPUL
POLVIS,POLVIS
POTDIV,POTDIV
POTR,POTR
PRIANG,PRIANG
PRIPAR,PRIPAR
PSME,PSME
PULPAT,PULPAT
RANADO,RANADO
RANESC,RANESC
REDCAS,REDCAS
RHOINT,RHOINT
RHORHO,RHORHO
RIBE,RIBE
RUID,RUID
SAAR,SAAR
SAGL,SAGL
SANI,SANI
SAPL,SAPL
SARE,SARE
SAVI,SAVI
SAXBRO,SAXBRO
SAXCHR,SAXCHR
SAXFLA,SAXFLA
SAXRHO,SAXRHO
SAXRIV,SAXRIV
SEDLAN,SEDLAN
SENFRE,SENFRE
SIBPRO,SIBPRO
SILACA,SILACA
SOLMUL,SOLMUL
STELON,STELON
STEUMB,STEUMB
SWEPER,SWEPER
TETACA,TETACA
TETGRA,TETGRA
TONLYA,TONLYA
TONPYG,TONPYG
TRIDAS,TRIDAS
TRINAN,TRINAN
TRIPAR,TRIPAR
TRISPI,TRISPI
TROALB,TROALB
VACA,VACA
VAMY,VAMY
VASC,VASC
VERWOR,VERWOR
VIOADU,VIOADU
YELCAS,YELCAS
ZIGELE,ZIGELE
