Betula fontinalis,shrub/tree,Betulaceae,BEFO,water birch,B. occidentalis,deciduous,NA,toothed/lobed,round,alternate,NA,NA
Betula glandulosa,shrub/tree,Betulaceae,BEGL,dwarf birch,NA,deciduous,NA,toothed,round,alternate,NA,NA
Linnea borealis,shrub/tree,Caprifoliaceae,LIBO,twinflower,NA,deciduous,NA,toothed,round,opposite,NA,NA
Kalmia polifolia,shrub/tree,Ericaceae,KAPO,bog laurel,K. microphylla,deciduous,NA,entire,oblong,alternate,NA,NA
Vaccinium caespitosum,shrub/tree,Ericaceae,VACA,dwarf bilberry,NA,deciduous,NA,entire,oblong,alternate,NA,NA
Vaccinium myrtillus,shrub/tree,Ericaceae,VAMY,whortleberry,NA,deciduous,NA,toothed,oblong,alternate,NA,NA
Vaccinium scoparium,shrub/tree,Ericaceae,VASC,grouse whortleberry,NA,deciduous,NA,entire,oblong,alternate,NA,NA
Lupinus argenteus,shrub/tree,Fabaceae,LUAR,silvery lupine,NA,deciduous,NA,entire,palmate,alternate,subshrub,NA
Ribes sp.,shrub/tree,Grossulariaceae,RIBE,gooseberry/currant,NA,deciduous,NA,lobed,palmate,alternate,Ribes montigenum or Ribes wolfii,NA
Dryas octopetala spp. hookeriana,shrub/tree,Rosaceae,DROC,mountain avens,NA,deciduous,NA,toothed,oblong,alternate,NA,NA
Dasiphora fruticosa,shrub/tree,Rosaceae,DAFR,shrubby cinquefoil,"Pentaphylloides floribunda, Potentilla fruticosa",deciduous,NA,undulate,dissected,alternate,NA,NA
Rubus idaeus spp. melanolasius,shrub/tree,Rosaceae,RUID,red rasberry,NA,deciduous,NA,toothed,oblong,opposite,NA,NA
Populus tremuloides,shrub/tree,Salicaceae,POTR,quaking aspen,NA,deciduous,NA,toothed,round,alternate,NA,NA
Salix arctica spp. petraea,shrub/tree,Salicaceae,SAAR,arctic willow,NA,deciduous,NA,entire,oblong,alternate,NA,NA
Salix glauca,shrub/tree,Salicaceae,SAGL,greyleaf willow,NA,deciduous,NA,entire,oblong,alternate,NA,NA
Salix nivalis,shrub/tree,Salicaceae,SANI,snow willow,S. reticulata,deciduous,NA,entire,oblong,alternate,NA,NA
Salix planifolia,shrub/tree,Salicaceae,SAPL,diamondleaf willow,S. phylicifolia,deciduous,NA,entire,oblong,alternate,NA,NA
Salix reticula ssp. nivalis,shrub/tree,Salicaceae,SARE,netleaf willow,NA,deciduous,NA,entire,round,alternate,NA,NA
Salix villosa,shrub/tree,Salicaceae,SAVI,NA,S. glauca var. villosa,deciduous,NA,entire,oblong,alternate,NA,NA
