Allium geyeri,forb,ALLGEY,GeyerÍs onion,Alliaceae ,NA,pink,6,urceolate,basal,oblong,dry meadow and subalpine,Formerly in Liliaceae and Amaryllidaceae families,JG Smith
Angelica grayi ,forb,ANGGRA,GrayÍs angelica,Apiaceae,NA,white,5,radial,alternate,other,talus and subalpine,NA,JG Smith
Ligusticum tenuifolium,forb,LIGTEN,Idaho licorice-root,Apiaceae,NA,white,5,radial,basal,other,wet meadow and subapline,NA,JG Smith
Oreoxis alpina,forb,OREALP,alpine parsley,Apiaceae,NA,yellow,5,radial,basal,other,snowbed,NA,JG Smith
Achillea millefolium ,forb,ACHMIL,Garrett common yarrow,Asteraceae,Achillea lanulosa,white,NA,composite,alternate,other,dry meadow and wet meadow,NA,JG Smith
Antennaria media,forb,ANTMED,Rocky Mountain pussy-toes,Asteraceae,Antennaria alpina ,white,NA,composite,alternate and basal,oblong,snowbed,NA,JG Smith
Antennaria rosea ,forb,ANTROS,rosy pussy-toes,Asteraceae,NA,pink and white,NA,composite,alternate and basal,oblong,snowbed,NA,JG Smith
Artemisia arctica ,forb,ARTARC,boreal sagebrush,Asteraceae,NA,yellow,NA,composite,alternate and basal,other,snowbed,NA,JG Smith
Artemisia campestris ,forb,ARTCAM,boreal sagewort,Asteraceae,Artemisia borealis,yellow,NA,composite,alternate and basal,other,dry meadow,NA,JG Smith
Artemisia pattersonii ,forb,ARTPAT,alpine sagewort,Asteraceae,NA,white and yellow,NA,composite,alternate and basal,other,fellfield and dry meadow,NA,JG Smith
Artemisia scopulorum ,forb,ARTSCO,dwarf sagewort,Asteraceae,NA,yellow,NA,composite,alternate and basal,other,dry meadow and moist meadow,NA,JG Smith
Cirsium scopulorum ,forb,CIRSCO,mountain thistle,Asteraceae,NA,white and yellow,NA,composite,alternate and basal,other,talus and subalpine,NA,JG Smith
Erigeron glacialis ,forb,ERIGLA,glacial daisy,Asteraceae,Erigeron peregrinus,purple,NA,composite,alternate and basal,oblong,snowbed and subalpine,NA,JG Smith
Erigeron melanocephalus,forb,ERIMEL,blackhead daisy,Asteraceae,NA,pink and purple and white,NA,composite,basal,oblong,snowbed,NA,JG Smith
Erigeron pinnatisectus,forb,ERIPIN,featherleaf daisy,Asteraceae,NA,purple,NA,composite,basal,other,dry meadow,NA,JG Smith
Erigeron simplex,forb,ERISIM,Rocky Mountain alpine daisy,Asteraceae,NA,pink and purple and white,NA,composite,basal,oblong,dry meadow and moist meadow,NA,JG Smith
Hieracium gracile,forb,HIEGRA,wooly hawkweed,Asteraceae,NA,yellow,NA,composite,basal,oblong,snowbed and subalpine,NA,JG Smith
Packera cana,forb,PACCAN,woolly groundsel,Asteraceae,Senecio harbourii,yellow,NA,composite,alternate and basal,oblong,dry meadow,NA,JG Smith
Packera crocata,forb,PACCRO,saffron groundsel,Asteraceae,Senecio crocatus ,orange and yellow,NA,composite,alternate and basal,oblong,moist meadow and subalpine,NA,JG Smith
Senecio fremontii ,forb,SENFRE,dwarf mountain ragwort,Asteraceae,NA,yellow,NA,composite,alternate,oblong,snowbed,NA,JG Smith
Solidago multiradiata,forb,SOLMUL,Rocky Mountain goldenrod,Asteraceae,NA,yellow,NA,composite,alternate and basal,oblong,dry meadow,NA,JG Smith
Tetraneuris acaulis ,forb,TETACA,caespitose four-nerve daisy,Asteraceae,Hymenoxys acaulis,yellow,NA,composite,basal,oblong,fellfield and dry meadow,NA,JG Smith
Tetraneuris grandiflora,forb,TETGRA,old man of the mountain,Asteraceae,Hymenoxys grandiflora,yellow,NA,composite,alternate,other,fellfield and dry meadow,NA,JG Smith
Tonestus lyallii,forb,TONLYA,Lyall's goldenweed,Asteraceae,Haplopappus lyallii,yellow,NA,composite,alternate,oblong,fellfield and dry meadow,NA,JG Smith
Tonestus pygmaeus,forb,TONPYG,pygmy goldenweed,Asteraceae,Haplopappus pygmaeus,yellow,NA,composite,alternate,oblong,dry meadow,NA,JG Smith
Eritrichium nanum ,forb,ERINAN,alpine forget-me-not,Boraginaceae,Eritrichium aretioides,blue and white,5,radial,cushion,other,fellfield and dry meadow,NA,JG Smith
Mertensia ciliata,forb,MERCIL,tall fringed bluebells,Boraginaceae,NA,blue,5,campanulate,alternate,oblong,subalpine,NA,JG Smith
Mertensia lanceolata,forb,MERLAN,greenleaf chiming bells,Boraginaceae,NA,blue,5,campanulate,alternate,oblong,dry meadow and moist meadow,NA,JG Smith
Erysimum capitatum,forb,ERYCAP,PurshÍs wallflower,Brassicaceae,Erysimum nivale,orange and yellow,4,radial,alternate and basal,oblong,fellfield and dry meadow and subalpine,NA,JG Smith
Noccaea fendleri,forb,NOCFEN,alpine pennycress,Brassicaceae,Thlaspi montanum,pink and white,4,radial,alternate and basal,oblong,fellfield and dry meadow and subalpine,NA,JG Smith
Campanula rotundifolia ,forb,CAMROT,mountain harebell,Campanulaceae,NA,blue,5,campanulate,alternate,oblong,dry meadow and subalpine,NA,JG Smith
Campanula uniflora,forb,CAMUNI,alpine harebell,Campanulaceae,NA,blue,5,campanulate,alternate,oblong,dry meadow,NA,JG Smith
Arenaria fendleri ,forb,AREFEN,FendlerÍs sandwort,Caryophyllaceae,Eremogone fendleri ,white,5,radial,basal,oblong,fellfield and dry meadow and subalpine,NA,JG Smith
Cerastium arvense ,forb,CERARV,field chickweed,Caryophyllaceae,Cerastium strictum,white,5,radial,opposite,oblong,dry meadow and subalpine,NA,JG Smith
Minuartia obtusiloba,forb,MINOBT,alpine sandwort,Caryophyllaceae,Lidia obtusiloba,white,5,radial,cushion,oblong,fellfield and dry meadow and moist meadow and snowbed and subalpine,NA,JG Smith
Paronychia pulvinata,forb,PARPUL,Rocky Mountain nailwort,Caryophyllaceae,NA,green and yellow,absent,radial,cushion,oblong,fellfield,NA,JG Smith
Silene acaulis,forb,SILACA,moss campion,Caryophyllaceae,NA,pink,5,radial,cushion,oblong,fellfield and dry meadow,NA,JG Smith
Stellaria longipes,forb,STELON,long-stalked starwort,Caryophyllaceae,Stellaria laeta,white,5,radial,opposite,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Stellaria umbellata,forb,STEUMB,umbrella starwort,Caryophyllaceae,NA,green,absent,radial,opposite,oblong,wet meadow and subalpine,NA,JG Smith
Rhodiola integrifolia,forb,RHOINT,king's crown,Crassulaceae,Sedum integrifolium,red,5,urceolate,alternate,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Rhodiola rhodantha,forb,RHORHO,queen's crown,Crassulaceae,Clementsia rhodantha and Sedum rhodanthum,pink,5,urceolate,alternate,oblong,wet meadow and subalpine,NA,JG Smith
Sedum lanceolatum,forb,SEDLAN,yellow stonecrop,Crassulaceae,NA,yellow,5,radial,alternate,oblong,fellfield and dry meadow and moist meadow and subalpine,NA,JG Smith
Trifolium dasyphyllum,forb,TRIDAS,alpine clover,Fabaceae,NA,pink,5,papilionaceous,basal,ternate,fellfield and dry meadow and subalpine,NA,JG Smith
Trifolium nanum,forb,TRINAN,dwarf clover,Fabaceae,NA,pink,5,papilionaceous,cushion,ternate,fellfield and dry meadow,NA,WD Bowman
Trifolium parryi ,forb,TRIPAR,ParryÍs clover,Fabaceae,NA,pink,5,papilionaceous,basal,ternate,wet meadow and moist meadow and snowbed and subalpine,NA,JG Smith
Frasera speciosa,forb,FRASPE,elkweed,Gentianaceae,NA,green and white,4,radial,whorled,oblong,fellfield and subalpine,NA,JG Smith
Gentiana algida,forb,GENALG,arctic gentian,Gentianaceae,Gentianodes algida,white,5,funnelform,basal and opposite,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Gentiana parryi,forb,GENPAR,ParryÍs gentian,Gentianaceae,NA,blue,5,campanulate and funnelform,opposite,oblong,wet meadow and subalpine,NA,JG Smith
Gentiana prostrata,forb,GENPRO,pygmy gentian,Gentianaceae,NA,blue and white,4 and 5,radial,opposite,oblong,moist meadow,NA,JG Smith
Gentianella amarella,forb,GENAMA,autumn dwarf gentian,Gentianaceae,NA,purple and white,4 and 5,radial,opposite,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Gentianella tenella,forb,GENTEN,Lapland gentain,Gentianaceae,NA,blue and white,4,radial,basal,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Gentianopsis barbellata,forb,GENBAR,perennial fringed gentian,Gentianaceae,NA,blue and purple,4,funnelform,basal and opposite,oblong,dry meadow and moist meadow and subalpine,NA,JG Smith
Swertia perennis,forb,SWEPER,felwort,Gentianaceae,NA,purple,5,radial,basal and opposite,oblong,wet meadow and subalpine,NA,JG Smith
Phacelia sericea,forb,PHASER,silky phacelia,Hydrophyllaceae,NA,purple,5,radial,alternate,other,fellfield and subalpine,NA,JG Smith
Lloydia serotina,forb,LLOSER,alpine lily,Liliaceae,NA,white,6,radial,alternate and basal,oblong,dry meadow,NA,JG Smith
Zigadenus elegans,forb,ZIGELE,mountain deathcamas,Melanthiaceae ,NA,white,6,radial,basal,oblong,dry meadow and subalpine,Formerly in Liliaceae family,JG Smith
Lewisia pygmaea,forb,LEWPYG,pygmy bitterroot,Montiaceae,Oreobroma pygmaea,pink and white,5 and 6 and >6,radial,basal,oblong,moist meadow and snowbed,Some include in Portulacaceae family,JG Smith
