Juncus biglumis,graminoid,Juncaceae (Rushes)
Juncus castaneus,graminoid,Juncaceae (Rushes)
Juncus drummondii,graminoid,Juncaceae (Rushes)
Juncus mertensianus,graminoid,Juncaceae (Rushes)
Juncus parryi,graminoid,Juncaceae (Rushes)
Juncus triglumis,graminoid,Juncaceae (Rushes)
Luzula spicata,graminoid,Juncaceae (Rushes)
Agrostis sp.,graminoid,Poaceae (grasses)
Calamagrostis purpurascens,graminoid,Poaceae (grasses)
Danthonia intermedia,graminoid,Poaceae (grasses)
Deschampsia caespitosa,graminoid,Poaceae (grasses)
Elymus scribneri,graminoid,Poaceae (grasses)
Festuca sp.,graminoid,Poaceae (grasses)
Helictotrichon mortonianum,graminoid,Poaceae (grasses)
Phleum alpinum,graminoid,Poaceae (grasses)
Poa sp.,graminoid,Poaceae (grasses)
Trisetum spicatum,graminoid,Poaceae (grasses)
Carex albonigra,graminoid,Cyperaceae (Sedges)
Carex aquatilis,graminoid,Cyperaceae (Sedges)
Carex arapahoensis,graminoid,Cyperaceae (Sedges)
Carex capillaris,graminoid,Cyperaceae (Sedges)
Carex ebenea,graminoid,Cyperaceae (Sedges)
Carex elynoides,graminoid,Cyperaceae (Sedges)
Carex haydeniana,graminoid,Cyperaceae (Sedges)
Carex heteroneura,graminoid,Cyperaceae (Sedges)
Carex illota,graminoid,Cyperaceae (Sedges)
Carex lachenalii,graminoid,Cyperaceae (Sedges)
Carex microglochin,graminoid,Cyperaceae (Sedges)
Carex misandra,graminoid,Cyperaceae (Sedges)
Carex nelsonii,graminoid,Cyperaceae (Sedges)
Carex nigricans,graminoid,Cyperaceae (Sedges)
Carex nova,graminoid,Cyperaceae (Sedges)
Carex perglobosa,graminoid,Cyperaceae (Sedges)
Carex phaeocephala,graminoid,Cyperaceae (Sedges)
Carex praeceptorum,graminoid,Cyperaceae (Sedges)
Carex pyrenaica,graminoid,Cyperaceae (Sedges)
Carex rossii,graminoid,Cyperaceae (Sedges)
Carex rupestris ,graminoid,Cyperaceae (Sedges)
Carex scopulorum ,graminoid,Cyperaceae (Sedges)
Carex siccata ,graminoid,Cyperaceae (Sedges)
Carex vernacula,graminoid,Cyperaceae (Sedges)
Kobresia myosuroides,graminoid,Cyperaceae (Sedges)
