Agrostis sp.,graminoid,Poaceae (grasses),AGROSP,bentgrass,NA,round and  hollow,flat and involute,open,1,bent and absent,NA,includes Agrostis humilis and A. mertensii and A. variabilis,
Calamagrostis purpurascens,graminoid,Poaceae (grasses),CALPUR,purple reedgrass,NA,round and  hollow,involute,contracted,1,bent and twisted,dry meadow and subalpine,NA,TBD
Danthonia intermedia,graminoid,Poaceae (grasses),DANINT,timber oatgrass,NA,round and  hollow,flat and involute,contracted,2+,bent and twisted,moist meadow and subalpine,NA,TBD
Deschampsia caespitosa,graminoid,Poaceae (grasses),DESCAE,tufted hairgrass,NA,round and  hollow,flat,open,2+,straight,moist meadow and wet meadow and snowbed and  talus and subalpine,NA,TBD
Elymus scribneri,graminoid,Poaceae (grasses),ELYSCR,spreading wheatgrass,Agropyron scribneri,round and  hollow,flat and involute,contracted,2+,straight,dry meadow and talus and subalpine,NA,TBD
Festuca sp.,graminoid,Poaceae (grasses),FESTSP,fescue,NA,round and  hollow,involute,contracted,2+,straight,dry meadow and moist meadow and wet meadow and snowbed and talus and subalpine,includes Festuca brachyphylla and F. minutiflora and F. rubra,
Helictotrichon mortonianum,graminoid,Poaceae (grasses),HELMOR,Morton‰Ûªs alpine oatgrass,NA,round and  hollow,involute,contracted,2+,bent and twisted,dry meadow,NA,TBD
Phleum alpinum,graminoid,Poaceae (grasses),PHLALP,alpine timothy,Phleum commutatum,round and  hollow,flat,contracted,1,straight,moist meadow and subalpine,NA,TBD
Poa sp.,graminoid,Poaceae (grasses),POA_SP,bluegrass,NA,round and  hollow,keeled,open,2+,,NA,includes Poa arctica and P. alpina and P. cusickii and P. glauca and P. reflexa,
Trisetum spicatum,graminoid,Poaceae (grasses),TRISPI,spike trisetum,NA,round and  hollow,flat and involute,contracted,2+,bent,moist meadow and wet meadow and subalpine,NA,TBD
