species_name,growth_form,family_name,plant_code,common_name,synonyms,stem_cross_section,leaf_blade,inflorescence,spike_color,habitat,notes,photo_credit
Carex albonigra,graminoid,Cyperaceae (Sedges),CARALB,black and white sedge,NA,triangular and solid,flat,2+ distinct spikes,black,dry meadow and moist meadow and subalpine,NA,TBD
Carex aquatilis,graminoid,Cyperaceae (Sedges),CARAQU,water sedge,NA,triangular and solid,flat,2+ distinct spikes,black,wet meadow and subalpine,NA,TBD
Carex arapahoensis,graminoid,Cyperaceae (Sedges),CARARA,Arapaho sedge,NA,triangular and solid,flat,2+ distinct spikes,light and medium,dry meadow and moist meadow and subalpine,NA,TBD
Carex capillaris,graminoid,Cyperaceae (Sedges),CARCAP,hair-like sedge,CarexåÊboecheriana,triangular and solid,flat,2+ distinct spikes,light ,moist meadow and wet meadow and subalpine,NA,TBD
Carex ebenea,graminoid,Cyperaceae (Sedges),CAREBE,ebony sedge,NA,triangular and solid,flat,globose head,dark and black,moist meadow and wet meadow and talus and subalpine,NA,TBD
Carex elynoides,graminoid,Cyperaceae (Sedges),CARELY,blackroot sedge,NA,triangular and solid,involute,1 distinct spike,medium ,dry meadow and subalpine,NA,TBD
Carex haydeniana,graminoid,Cyperaceae (Sedges),CARHAY,cloud sedge,NA,triangular and solid,flat,globose head,dark ,dry meadow and moist meadow and talus and subalpine,NA,TBD
Carex heteroneura,graminoid,Cyperaceae (Sedges),CARHET,Hol'sm sedge,Carex chalciolepis and Carex atrata ,triangular and solid,flat,2+ distinct spikes,dark ,snowbed and subalpine,NA,TBD
Carex illota,graminoid,Cyperaceae (Sedges),CARILL,sheep sedge,NA,triangular and solid,flat,2+ distinct spikes,dark ,wet meadow and subalpine,NA,TBD
Carex lachenalii,graminoid,Cyperaceae (Sedges),CARLAC,two-tipped sedge,Carex bipartita,triangular and solid,flat,2+ distinct spikes,medium ,wet meadow and subalpine,NA,TBD
Carex microglochin,graminoid,Cyperaceae (Sedges),CARMIC,few-seeded bog sedge,NA,triangular and solid,involute,1 distinct spike,light and  medium ,wet meadow and subalpine,NA,TBD
Carex misandra,graminoid,Cyperaceae (Sedges),CARMIS,short-leaved sedge,NA,triangular and solid,flat,2+ distinct spikes,medium and dark ,dry meadow and moist meadow,NA,TBD
Carex nelsonii,graminoid,Cyperaceae (Sedges),CARNEL,Nelson‰Ûªs sedge,NA,triangular and solid,flat,2+ distinct spikes,black,dry meadow and moist meadow and subalpine,NA,TBD
Carex nigricans,graminoid,Cyperaceae (Sedges),CARNIG,black alpine sedge,NA,triangular and solid,flat,1 distinct spike,dark and black,wet meadow and subalpine,NA,TBD
Carex nova,graminoid,Cyperaceae (Sedges),CARNOV,black sedge,NA,triangular and solid,flat,2+ distinct spikes,black,moist meadow and subalpine,NA,TBD
Carex perglobosa,graminoid,Cyperaceae (Sedges),CARPER,globe sedge,NA,triangular and solid,flat and involute,globose head,light and  medium ,fellfield and dry meadow and moist meadow and talus,NA,TBD
Carex phaeocephala,graminoid,Cyperaceae (Sedges),CARPHA,dunhead sedge,NA,triangular and solid,flat,2+ distinct spikes,medium ,dry meadow and moist meadow and talus and subalpine,NA,TBD
Carex praeceptorum,graminoid,Cyperaceae (Sedges),CARPRA,early sedge,NA,triangular and solid,flat,2+ distinct spikes,medium ,moist meadow and wet meadow and subalpine,NA,TBD
Carex pyrenaica,graminoid,Cyperaceae (Sedges),CARPYR,Pyrenees sedge,Carex crandalii,triangular and solid,involute,1 distinct spike,dark and black,snowbed and talus,NA,TBD
Carex rossii,graminoid,Cyperaceae (Sedges),CARROS,Ross‰Ûª sedge,Carex brevipes,triangular and solid,flat,2+ distinct spikes,light and  medium ,dry meadow and moist meadow and subalpine,NA,TBD
Carex rupestris ,graminoid,Cyperaceae (Sedges),CARRUP,Drummond‰Ûªs sedge,Carex drummondiana,triangular and solid,flat,1 distinct spike,medium and dark,fellfield and dry meadow and subalpine,NA,TBD
Carex scopulorum ,graminoid,Cyperaceae (Sedges),CARSCO,mountain sedge,NA,triangular and solid,flat,2+ distinct spikes,black,"moist meadow and wet meadow,snowbed and  subalpine",NA,TBD
Carex siccata ,graminoid,Cyperaceae (Sedges),CARSIC,dryspike sedge,Carex foenea,triangular and solid,flat,2+ distinct spikes,medium,dry meadow and moist meadow and subalpine,NA,TBD
Carex vernacula,graminoid,Cyperaceae (Sedges),CARVER,native sedge,CarexåÊfoetida,triangular and solid,flat,globose head,medium and dark,dry meadow and moist meadow and snowbed and subalpine,NA,TBD
Kobresia myosuroides,graminoid,Cyperaceae (Sedges),KOBMYO,Bellardi bog sedge,NA,triangular and solid,involute,1 distinct spike,medium,dry meadow and subalpine,NA,TBD
